type,name,dataflowName,datasetName,dashboardName,lensName,InSecurityPredicate,usageCount,inUse
dimension,OpportunityId.Name,Playground,Product_Opportunities,,,false,0,false
dimension,OpportunityId,Playground,Product_Opportunities,,,false,0,false
dimension,Id,Playground,Product_Opportunities,Map_Toggle_Complete,,false,3,true
dimension,Name,Playground,Product_Opportunities,Map_Toggle_Complete,,false,3,true
dimension,Item,Playground,NewRetail,,,false,0,false
dimension,Store,Playground,NewRetail,,,false,0,false
dimension,Promotion,Playground,NewRetail,,,false,0,false
dimension,DateNew,Playground,NewRetail,,,false,0,false
dimension,DateNew_Year,Playground,NewRetail,,,false,0,false
dimension,DateNew_Quarter,Playground,NewRetail,,,false,0,false
dimension,DateNew_Month,Playground,NewRetail,,,false,0,false
dimension,DateNew_Week,Playground,NewRetail,,,false,0,false
dimension,DateNew_Day,Playground,NewRetail,,,false,0,false
dimension,DateNew_Hour,Playground,NewRetail,,,false,0,false
dimension,DateNew_Minute,Playground,NewRetail,,,false,0,false
dimension,DateNew_Second,Playground,NewRetail,,,false,0,false
dimension,Date,Playground,NewRetail,Map_Toggle_Complete,,false,3,true
dimension,Date_Year,Playground,NewRetail,test,,false,1,true
dimension,Date_Quarter,Playground,NewRetail,,,false,0,false
dimension,Date_Month,Playground,NewRetail,test,,false,1,true
dimension,Date_Week,Playground,NewRetail,,,false,0,false
dimension,Date_Day,Playground,NewRetail,test,,false,1,true
dimension,Date_Hour,Playground,NewRetail,,,false,0,false
dimension,Date_Minute,Playground,NewRetail,,,false,0,false
dimension,Date_Second,Playground,NewRetail,,,false,0,false
dimension,AccountId,Playground,Oppty,Map_Toggle_Complete,,false,3,true
dimension,AccountId.BillingCountry,Playground,Oppty,Map_Toggle_Complete,,false,2,true
dimension,OwnerId.Name,Playground,Oppty,,,false,0,false
dimension,StageName,Playground,Oppty,test,,false,1,true
dimension,AccountId.BillingState,Playground,Oppty,Map_Toggle_Complete,,false,2,true
dimension,IsClosed,Playground,Oppty,,,false,0,false
dimension,CloseDate,Playground,Oppty,test,,false,1,true
dimension,CloseDate_Year,Playground,Oppty,test,,false,1,true
dimension,CloseDate_Quarter,Playground,Oppty,,,false,0,false
dimension,CloseDate_Month,Playground,Oppty,test,,false,1,true
dimension,CloseDate_Week,Playground,Oppty,,,false,0,false
dimension,CloseDate_Day,Playground,Oppty,test,,false,1,true
dimension,CloseDate_Hour,Playground,Oppty,,,false,0,false
dimension,CloseDate_Minute,Playground,Oppty,,,false,0,false
dimension,CloseDate_Second,Playground,Oppty,,,false,0,false
dimension,Name,Playground,Oppty,Map_Toggle_Complete,,false,3,true
dimension,Type,Playground,Oppty,Map_Toggle_Complete,,false,3,true
dimension,AccountId.Type,Playground,Oppty,test,,false,1,true
dimension,OwnerId,Playground,Oppty,,,false,0,false
dimension,AccountId.Industry,Playground,Oppty,test,,false,1,true
dimension,CreatedDate,Playground,Oppty,,,false,0,false
dimension,CreatedDate_Year,Playground,Oppty,,,false,0,false
dimension,CreatedDate_Quarter,Playground,Oppty,,,false,0,false
dimension,CreatedDate_Month,Playground,Oppty,,,false,0,false
dimension,CreatedDate_Week,Playground,Oppty,,,false,0,false
dimension,CreatedDate_Day,Playground,Oppty,,,false,0,false
dimension,CreatedDate_Hour,Playground,Oppty,,,false,0,false
dimension,CreatedDate_Minute,Playground,Oppty,,,false,0,false
dimension,CreatedDate_Second,Playground,Oppty,,,false,0,false
dimension,Id,Playground,Oppty,Map_Toggle_Complete,,false,3,true