"type","name","dataflowName","datasetName","source"
"dimension","Role.RoleNames","The_Motivator","user","augment.Join_ActivityOwner"
"dimension","UniqueUserName","The_Motivator","user","augment.Join_ActivityOwner_Product_Opp_User|augment.Join_ActivityOwner|computeExpression.Compute_Manager_Unique"
"dimension","UserRoleId","The_Motivator","user","sfdcDigest.Extract_User|augment.Join_ActivityOwner"
"dimension","IsActive","The_Motivator","user","sfdcDigest.Extract_User"
"dimension","Role.ParentRoleId","The_Motivator","user","augment.Join_ActivityOwner"
"dimension","Role.RolePath","The_Motivator","user","augment.Join_ActivityOwner"
"dimension","Name","The_Motivator","user","sfdcDigest.Extract_Opportunity|sfdcDigest.Extract_User|sfdcDigest.Extract_Account|sfdcDigest.Extract_UserRole|augment.Join_ActivityOwner_Product_Opp_User|augment.Join_ActivityOwner_Product_Opp_User_Account|augment.Join_ActivityOwner_Product_Opp|augment.Augment_ParentName|augment.Join_ActivityOwner|augment.User_with_Roles|augment.User_with_Roles_with_Opportunities"
"dimension","Opportunity.Name","The_Motivator","user",
"dimension","Role.DeveloperName","The_Motivator","user","augment.Join_ActivityOwner"
"dimension","SmallPhotoUrl","The_Motivator","user","sfdcDigest.Extract_User|augment.Join_ActivityOwner"
"dimension","FirstName","The_Motivator","user","sfdcDigest.Extract_User"
"dimension","hasOpportunity","The_Motivator","user","computeExpression.Users_Custom_Filter_Flag"
"dimension","Role.ParentRole.Name","The_Motivator","user","augment.Join_ActivityOwner"
"dimension","Role.RoleNamesPath","The_Motivator","user","augment.Join_ActivityOwner"
"dimension","CustomFilter","The_Motivator","user","computeExpression.Users_Custom_Filter_Flag|computeExpression.Activity_Custom_Filter_Flag"
"dimension","FullPhotoUrl","The_Motivator","user","sfdcDigest.Extract_User|augment.Join_ActivityOwner"
"dimension","Username","The_Motivator","user","sfdcDigest.Extract_User|augment.Join_ActivityOwner"
"dimension","Role.Name","The_Motivator","user","augment.Join_ActivityOwner"
"dimension","Role.Roles","The_Motivator","user","augment.Join_ActivityOwner"
"dimension","Id","The_Motivator","user","sfdcDigest.Extract_Opportunity|sfdcDigest.Extract_Task|sfdcDigest.Extract_User|sfdcDigest.Extract_Account|sfdcDigest.Extract_UserRole|augment.Join_ActivityOwner_Product_Opp"
"dimension","LastName","The_Motivator","user","sfdcDigest.Extract_User"
"dimension","Role.Hierarchy_RoleNames","The_Motivator","user","augment.Join_ActivityOwner"
"dimension","Role.ParentRole.DeveloperName","The_Motivator","user","augment.Join_ActivityOwner"
"dimension","UserType","The_Motivator","user","sfdcDigest.Extract_User"
"dimension","ManagerId","The_Motivator","user","sfdcDigest.Extract_User"
"dimension","LastModifiedDate","The_Motivator","activity","sfdcDigest.Extract_Task|sfdcDigest.Extract_UserRole|sfdcDigest.Extract_Event"
"dimension","LastModifiedDate_Year","The_Motivator","activity",
"dimension","LastModifiedDate_Quarter","The_Motivator","activity",
"dimension","LastModifiedDate_Month","The_Motivator","activity",
"dimension","LastModifiedDate_Week","The_Motivator","activity",
"dimension","LastModifiedDate_Day","The_Motivator","activity",
"dimension","LastModifiedDate_Hour","The_Motivator","activity",
"dimension","LastModifiedDate_Minute","The_Motivator","activity",
"dimension","LastModifiedDate_Second","The_Motivator","activity",
"dimension","LastModifiedDate_Year_Fiscal","The_Motivator","activity",
"dimension","LastModifiedDate_Quarter_Fiscal","The_Motivator","activity",
"dimension","LastModifiedDate_Month_Fiscal","The_Motivator","activity",
"dimension","LastModifiedDate_Week_Fiscal","The_Motivator","activity",
"dimension","Account.Type","The_Motivator","activity",
"dimension","AccountId","The_Motivator","activity","sfdcDigest.Extract_Opportunity|sfdcDigest.Extract_Task|sfdcDigest.Extract_Event|augment.Join_ActivityOwner_Product_Opp"
"dimension","CallDisposition","The_Motivator","activity","sfdcDigest.Extract_Task|computeExpression.Add_Fields_To_Event"
"dimension","Opportunity.RecordTypeId","The_Motivator","activity",
"dimension","Owner.Role.ParentRole.Name","The_Motivator","activity",
"dimension","Owner.Role.Hierarchy_RoleNames","The_Motivator","activity",
"dimension","Owner.Role.Name","The_Motivator","activity",
"dimension","Opportunity.StageName","The_Motivator","activity",
"dimension","Owner.Username","The_Motivator","activity",
"dimension","AssignedTo.UniqueUserName","The_Motivator","activity",
"dimension","Owner.Role.DeveloperName","The_Motivator","activity",
"dimension","Status","The_Motivator","activity","sfdcDigest.Extract_Task|computeExpression.Add_Fields_To_Event"
"dimension","IsOverdue","The_Motivator","activity","computeExpression.Compute_Activity_IsOverdue"
"dimension","Owner.Role.RoleNamesPath","The_Motivator","activity",
"dimension","ActivityDate","The_Motivator","activity","sfdcDigest.Extract_Task|sfdcDigest.Extract_Event"
"dimension","ActivityDate_Year","The_Motivator","activity",
"dimension","ActivityDate_Quarter","The_Motivator","activity",
"dimension","ActivityDate_Month","The_Motivator","activity",
"dimension","ActivityDate_Week","The_Motivator","activity",
"dimension","ActivityDate_Day","The_Motivator","activity",
"dimension","ActivityDate_Hour","The_Motivator","activity",
"dimension","ActivityDate_Minute","The_Motivator","activity",
"dimension","ActivityDate_Second","The_Motivator","activity",
"dimension","ActivityDate_Year_Fiscal","The_Motivator","activity",
"dimension","ActivityDate_Quarter_Fiscal","The_Motivator","activity",
"dimension","ActivityDate_Month_Fiscal","The_Motivator","activity",
"dimension","ActivityDate_Week_Fiscal","The_Motivator","activity",
"dimension","Priority","The_Motivator","activity","sfdcDigest.Extract_Task|computeExpression.Add_Fields_To_Event"
"dimension","Owner.Role.RolePath","The_Motivator","activity",
"dimension","Opportunity.Id","The_Motivator","activity",
"dimension","Opportunity.IsClosed","The_Motivator","activity",
"dimension","TaskSubtype","The_Motivator","activity","sfdcDigest.Extract_Task|computeExpression.Add_Fields_To_Event"
"dimension","Account.BillingCountry","The_Motivator","activity",
"dimension","CreatedDate","The_Motivator","activity","sfdcDigest.Extract_Opportunity|sfdcDigest.Extract_Task|sfdcDigest.Extract_Account|sfdcDigest.Extract_Event|augment.Join_ActivityOwner_Product_Opp"
"dimension","CreatedDate_Year","The_Motivator","activity",
"dimension","CreatedDate_Quarter","The_Motivator","activity",
"dimension","CreatedDate_Month","The_Motivator","activity",
"dimension","CreatedDate_Week","The_Motivator","activity",
"dimension","CreatedDate_Day","The_Motivator","activity",
"dimension","CreatedDate_Hour","The_Motivator","activity",
"dimension","CreatedDate_Minute","The_Motivator","activity",
"dimension","CreatedDate_Second","The_Motivator","activity",
"dimension","CreatedDate_Year_Fiscal","The_Motivator","activity",
"dimension","CreatedDate_Quarter_Fiscal","The_Motivator","activity",
"dimension","CreatedDate_Month_Fiscal","The_Motivator","activity",
"dimension","CreatedDate_Week_Fiscal","The_Motivator","activity",
"dimension","Account.OwnerId","The_Motivator","activity",
"dimension","Id","The_Motivator","activity","sfdcDigest.Extract_Opportunity|sfdcDigest.Extract_Task|sfdcDigest.Extract_User|sfdcDigest.Extract_Account|sfdcDigest.Extract_UserRole|augment.Join_ActivityOwner_Product_Opp"
"dimension","EventSubtype","The_Motivator","activity","sfdcDigest.Extract_Event|computeExpression.Add_Fields_To_Task"
"dimension","Opportunity.AccountId","The_Motivator","activity",
"dimension","Owner.Role.RoleNames","The_Motivator","activity",
"dimension","Owner.UniqueUserName","The_Motivator","activity",
"dimension","WhatId","The_Motivator","activity","sfdcDigest.Extract_Task|sfdcDigest.Extract_Event"
"dimension","Owner.FullPhotoUrl","The_Motivator","activity",
"dimension","CallType","The_Motivator","activity","sfdcDigest.Extract_Task|computeExpression.Add_Fields_To_Event"
"dimension","AssignedTo.Name","The_Motivator","activity",
"dimension","IsClosed","The_Motivator","activity","sfdcDigest.Extract_Opportunity|sfdcDigest.Extract_Task|augment.Join_ActivityOwner_Product_Opp|computeExpression.Add_Fields_To_Event"
"dimension","Owner.SmallPhotoUrl","The_Motivator","activity",
"dimension","Owner.Role.ParentRoleId","The_Motivator","activity",
"dimension","Account.Industry","The_Motivator","activity",
"dimension","Opportunity.Type","The_Motivator","activity",
"dimension","OwnerId","The_Motivator","activity","sfdcDigest.Extract_Opportunity|sfdcDigest.Extract_Task|sfdcDigest.Extract_Account|sfdcDigest.Extract_Event|augment.Join_ActivityOwner_Product_Opp_User_Account|augment.Join_ActivityOwner_Product_Opp"
"dimension","Owner.UserRoleId","The_Motivator","activity",
"dimension","Opportunity.Name","The_Motivator","activity",
"dimension","Owner.Name","The_Motivator","activity",
"dimension","Opportunity.CloseDate","The_Motivator","activity",
"dimension","Opportunity.CloseDate_Year","The_Motivator","activity",
"dimension","Opportunity.CloseDate_Quarter","The_Motivator","activity",
"dimension","Opportunity.CloseDate_Month","The_Motivator","activity",
"dimension","Opportunity.CloseDate_Week","The_Motivator","activity",
"dimension","Opportunity.CloseDate_Day","The_Motivator","activity",
"dimension","Opportunity.CloseDate_Hour","The_Motivator","activity",
"dimension","Opportunity.CloseDate_Minute","The_Motivator","activity",
"dimension","Opportunity.CloseDate_Second","The_Motivator","activity",
"dimension","Opportunity.CreatedDate","The_Motivator","activity",
"dimension","Opportunity.CreatedDate_Year","The_Motivator","activity",
"dimension","Opportunity.CreatedDate_Quarter","The_Motivator","activity",
"dimension","Opportunity.CreatedDate_Month","The_Motivator","activity",
"dimension","Opportunity.CreatedDate_Week","The_Motivator","activity",
"dimension","Opportunity.CreatedDate_Day","The_Motivator","activity",
"dimension","Opportunity.CreatedDate_Hour","The_Motivator","activity",
"dimension","Opportunity.CreatedDate_Minute","The_Motivator","activity",
"dimension","Opportunity.CreatedDate_Second","The_Motivator","activity",
"dimension","Subject","The_Motivator","activity","sfdcDigest.Extract_Task|sfdcDigest.Extract_Event"
"dimension","Owner.Role.Roles","The_Motivator","activity",
"dimension","CustomFilter","The_Motivator","activity","computeExpression.Users_Custom_Filter_Flag|computeExpression.Activity_Custom_Filter_Flag"
"dimension","Owner.Role.ParentRole.DeveloperName","The_Motivator","activity",
"dimension","Opportunity.OwnerId","The_Motivator","activity",
"dimension","Account.Name","The_Motivator","activity",
"measure","LastModifiedDate_day_epoch","The_Motivator","activity",
"measure","LastModifiedDate_sec_epoch","The_Motivator","activity",
"measure","DaysOverdue","The_Motivator","activity","computeExpression.Compute_Activity_Days_Overdue"
"measure","ActivityDate_day_epoch","The_Motivator","activity",
"measure","ActivityDate_sec_epoch","The_Motivator","activity",
"measure","CallDurationInSeconds","The_Motivator","activity","sfdcDigest.Extract_Task|computeExpression.Add_Fields_To_Event"
"measure","CreatedDate_day_epoch","The_Motivator","activity",
"measure","CreatedDate_sec_epoch","The_Motivator","activity",
"measure","DurationInMinutes","The_Motivator","activity","sfdcDigest.Extract_Event|computeExpression.Add_Fields_To_Task"
"measure","Opportunity.CloseDate_day_epoch","The_Motivator","activity",
"measure","Opportunity.CloseDate_sec_epoch","The_Motivator","activity",
"measure","Opportunity.CreatedDate_day_epoch","The_Motivator","activity",
"measure","Opportunity.CreatedDate_sec_epoch","The_Motivator","activity",